Patch1_Us,Patch1_Ls,Patch2_Us,Patch2_Rs,Patch3_Us,Distance,Alpha,Lambda,Beta,Var,Total_prop_Ls
50,2,50,2,50,1,0.01,0.003,4.2,0.23801,0.44899
50,2,50,2,50,1,0.01,0.003,4.3,0.23824,0.55081
50,2,50,2,50,1,0.01,0.003,4.4,0.23844,0.55065
50,2,50,2,50,1,0.01,0.003,4.5,0.23861,0.4495
50,2,50,2,50,1,0.01,0.003,4.6,0.23876,0.44963
50,2,50,2,50,1,0.01,0.003,4.7,0.23889,0.55026
50,2,50,2,50,1,0.01,0.003,4.8,0.239,0.55017
50,2,50,2,50,1,0.01,0.003,4.9,0.23909,0.44992
50,2,50,2,50,1,0.01,0.003,5,0.23917,0.44999
50,2,50,2,50,1,0.01,0.0035,1,6.51E-28,0.5
50,2,50,2,50,1,0.01,0.0035,1.1,1.23E-24,0.5
50,2,50,2,50,1,0.01,0.0035,1.2,1.12E-19,0.50005
50,2,50,2,50,1,0.01,0.0035,1.3,3.47E-16,0.67442
50,2,50,2,50,1,0.01,0.0035,1.4,6.09E-26,1.35E-07
50,2,50,2,50,1,0.01,0.0035,1.5,1.84E-30,3.23E-12
50,2,50,2,50,1,0.01,0.0035,1.6,4.04E-28,-2.07E-10
50,2,50,2,50,1,0.01,0.0035,1.7,1.18E-27,1
50,2,50,2,50,1,0.01,0.0035,1.8,9.86E-30,1
50,2,50,2,50,1,0.01,0.0035,1.9,1.05E-30,-2.66E-12
50,2,50,2,50,1,0.01,0.0035,2,4.56E-31,-1.11E-12
50,2,50,2,50,1,0.01,0.0035,2.1,3.66E-32,1.82E-13
50,2,50,2,50,1,0.01,0.0035,2.2,4.12E-32,2.15E-12
50,2,50,2,50,1,0.01,0.0035,2.3,8.84E-32,1.24E-12
50,2,50,2,50,1,0.01,0.0035,2.4,4.87E-32,1.31E-13
50,2,50,2,50,1,0.01,0.0035,2.5,2.75E-30,-1.11E-11
50,2,50,2,50,1,0.01,0.0035,2.6,0.16087,0.61289
50,2,50,2,50,1,0.01,0.0035,2.7,0.18416,0.5863
50,2,50,2,50,1,0.01,0.0035,2.8,0.19126,0.42099
50,2,50,2,50,1,0.01,0.0035,2.9,0.19607,0.42571
50,2,50,2,50,1,0.01,0.0035,3,0.19966,0.57088
50,2,50,2,50,1,0.01,0.0035,3.1,0.20246,0.43174
50,2,50,2,50,1,0.01,0.0035,3.2,0.2047,0.56619
50,2,50,2,50,1,0.01,0.0035,3.3,0.20653,0.43549
50,2,50,2,50,1,0.01,0.0035,3.4,0.20805,0.56314
50,2,50,2,50,1,0.01,0.0035,3.5,0.20931,0.43801
50,2,50,2,50,1,0.01,0.0035,3.6,0.21036,0.56103
50,2,50,2,50,1,0.01,0.0035,3.7,0.21126,0.43979
50,2,50,2,50,1,0.01,0.0035,3.8,0.21202,0.44048
50,2,50,2,50,1,0.01,0.0035,3.9,0.21267,0.55892
50,2,50,2,50,1,0.01,0.0035,4,0.21322,0.55841
50,2,50,2,50,1,0.01,0.0035,4.1,0.2137,0.55797
50,2,50,2,50,1,0.01,0.0035,4.2,0.21411,0.44241
50,2,50,2,50,1,0.01,0.0035,4.3,0.21447,0.55726
50,2,50,2,50,1,0.01,0.0035,4.4,0.21477,0.55697
50,2,50,2,50,1,0.01,0.0035,4.5,0.21504,0.44328
50,2,50,2,50,1,0.01,0.0035,4.6,0.21527,0.4435
50,2,50,2,50,1,0.01,0.0035,4.7,0.21547,0.44369
50,2,50,2,50,1,0.01,0.0035,4.8,0.21565,0.44386
50,2,50,2,50,1,0.01,0.0035,4.9,0.2158,0.55599
50,2,50,2,50,1,0.01,0.0035,5,0.21594,0.55586
50,2,50,2,50,1,0.01,0.004,1,6.41E-26,0.5
50,2,50,2,50,1,0.01,0.004,1.1,3.88E-27,0.5
50,2,50,2,50,1,0.01,0.004,1.2,3.27E-19,0.50015
50,2,50,2,50,1,0.01,0.004,1.3,1.78E-16,0.68711
50,2,50,2,50,1,0.01,0.004,1.4,1.23E-32,1
50,2,50,2,50,1,0.01,0.004,1.5,3.08E-31,1
50,2,50,2,50,1,0.01,0.004,1.6,2.08E-31,-1.03E-11
50,2,50,2,50,1,0.01,0.004,1.7,6.16E-32,1
50,2,50,2,50,1,0.01,0.004,1.8,2.24E-31,-8.02E-12
50,2,50,2,50,1,0.01,0.004,1.9,9.86E-32,1
50,2,50,2,50,1,0.01,0.004,2,1.23E-32,1
50,2,50,2,50,1,0.01,0.004,2.1,2.47E-32,1
50,2,50,2,50,1,0.01,0.004,2.2,0,1
50,2,50,2,50,1,0.01,0.004,2.3,6.44E-34,8.06E-13
50,2,50,2,50,1,0.01,0.004,2.4,2.63E-34,-2.58E-13
50,2,50,2,50,1,0.01,0.004,2.5,4.30E-38,1.48E-13
50,2,50,2,50,1,0.01,0.004,2.6,4.50E-35,5.86E-15
50,2,50,2,50,1,0.01,0.004,2.7,7.11E-34,-4.76E-13
50,2,50,2,50,1,0.01,0.004,2.8,1.12E-34,2.02E-13
50,2,50,2,50,1,0.01,0.004,2.9,1.28E-29,1.54E-10
50,2,50,2,50,1,0.01,0.004,3,0.16833,0.59079
50,2,50,2,50,1,0.01,0.004,3.1,0.17439,0.58388
50,2,50,2,50,1,0.01,0.004,3.2,0.17845,0.42058
50,2,50,2,50,1,0.01,0.004,3.3,0.18149,0.57616
50,2,50,2,50,1,0.01,0.004,3.4,0.18388,0.42636
50,2,50,2,50,1,0.01,0.004,3.5,0.18582,0.57162
50,2,50,2,50,1,0.01,0.004,3.6,0.18741,0.43003
50,2,50,2,50,1,0.01,0.004,3.7,0.18874,0.56861
50,2,50,2,50,1,0.01,0.004,3.8,0.18985,0.43254
50,2,50,2,50,1,0.01,0.004,3.9,0.1908,0.56648
50,2,50,2,50,1,0.01,0.004,4,0.19162,0.56565
50,2,50,2,50,1,0.01,0.004,4.1,0.19231,0.43507
50,2,50,2,50,1,0.01,0.004,4.2,0.19291,0.43569
50,2,50,2,50,1,0.01,0.004,4.3,0.19343,0.56378
50,2,50,2,50,1,0.01,0.004,4.4,0.19388,0.56331
50,2,50,2,50,1,0.01,0.004,4.5,0.19428,0.5629
50,2,50,2,50,1,0.01,0.004,4.6,0.19462,0.43746
50,2,50,2,50,1,0.01,0.004,4.7,0.19492,0.43777
50,2,50,2,50,1,0.01,0.004,4.8,0.19518,0.43805
50,2,50,2,50,1,0.01,0.004,4.9,0.19542,0.56171
50,2,50,2,50,1,0.01,0.004,5,0.19562,0.5615
