Beta,Var,Total_prop_Ls,PoolL,PoolR
1.2,0.017544,0.95215,115,70
1.2,0.00056835,0.99123,66,62
1.2,4.07E-08,0.99997,153,41
1.2,2.61E-09,0.99999,139,41
1.2,5.08E-06,0.99928,106,110
1.2,0.035305,0.22593,63,109
1.2,1.78E-09,0.99999,170,55
1.2,8.12E-08,5.30E-05,58,121
1.2,1.82E-09,7.07E-06,55,98
1.2,0.077262,0.21749,71,108
1.2,2.84E-05,0.99771,91,37
1.2,1.32E-06,0.9998,64,48
1.2,0.092457,0.31213,53,49
1.2,0.0079919,0.9422,72,48
1.2,0.063163,0.71976,66,54
1.2,0.065528,0.79655,81,88
1.2,0.017467,0.95225,88,86
1.2,7.31E-09,0.99999,76,32
1.2,0.087049,0.55854,73,87
1.2,0.016851,0.90203,104,52
1.2,5.48E-08,0.99996,90,45
1.2,1.01E-08,0.99998,144,59
1.2,3.22E-08,0.99997,100,25
1.2,5.35E-06,0.99912,69,51
1.2,0.026328,0.91921,78,66
1.2,0.017243,0.95276,56,40
1.2,1.42E-09,0.99999,114,34
1.2,0.053327,0.7564,102,52
1.2,0.01853,0.94881,75,79
1.2,0.090003,0.47287,77,82
1.2,1.14E-07,0.99993,80,21
1.2,4.57E-06,0.99931,105,64
1.2,1.18E-08,0.99998,148,25
1.2,0.077416,0.64691,101,34
1.2,0.086727,0.37153,97,90
1.2,0.0001543,0.98975,65,62
1.2,2.72E-08,0.99996,105,29
1.2,7.06E-09,0.99999,103,48
1.2,8.02E-08,0.99996,173,75
1.2,1.20E-05,0.99866,83,77
1.2,0.01488,0.95687,132,60
1.2,6.15E-05,0.99536,87,28
1.2,3.09E-08,0.99998,110,38
1.2,1.22E-08,0.99998,113,29
1.2,0.078474,0.74938,88,110
1.2,0.081983,0.68739,67,84
1.2,3.46E-09,0.99999,118,48
1.2,0.084623,0.23718,94,43
1.2,0.023198,0.86389,92,93
1.2,3.76E-09,0.99999,143,43
1.2,5.64E-08,0.99996,108,33
1.2,5.49E-09,0.99999,119,44
1.2,4.09E-08,0.99996,149,48
1.2,0.071008,0.40595,64,85
1.2,0.079078,0.36001,74,86
1.2,1.11E-07,0.99995,138,44
1.2,2.70E-08,0.99998,128,44
1.2,1.01E-05,0.99867,123,74
1.2,6.97E-09,0.99998,164,35
1.2,5.68E-06,0.00086734,61,81
1.2,0.079455,0.77533,101,84
1.2,1.11E-07,0.99994,152,60
1.2,9.06E-08,0.99995,101,41
1.2,1.60E-05,0.99836,148,73
1.2,0.013398,0.9593,56,32
1.2,0.03811,0.86093,90,47
1.2,0.062617,0.18729,94,142
1.2,0.0944,0.44778,104,96
1.2,0.078947,0.77866,48,91
1.2,0.00032556,0.99212,105,83
1.2,2.68E-07,0.99989,137,61
1.2,4.75E-08,0.99996,115,56
1.2,0.016567,0.95399,99,63
1.2,0.003669,0.95807,102,100
1.2,0.00016134,0.007738,78,99
1.2,0.0781,0.63004,52,48
1.2,3.80E-06,0.99954,55,40
1.2,0.065284,0.80795,124,55
1.2,0.093208,0.47081,98,74
1.2,0.0037193,0.96394,147,91
1.2,4.77E-08,0.99996,62,36
1.2,0.088099,0.51324,86,99
1.2,5.04E-08,0.99995,42,33
1.2,0.087261,0.59929,77,25
1.2,0.066285,0.48743,75,99
1.2,3.20E-05,0.99746,49,63
1.2,0.015902,0.89862,101,65
1.2,6.82E-06,0.99913,100,51
1.2,0.0076105,0.92324,115,65
1.2,7.82E-09,0.99999,106,37
1.2,0.073842,0.34414,60,90
1.2,1.69E-06,0.99961,127,46
1.2,0.04454,0.26085,35,51
1.2,6.89E-08,0.99996,91,46
1.2,3.45E-06,0.99937,99,59
1.2,0.00037901,0.99062,83,90
1.2,0.013904,0.95836,165,81
1.2,3.17E-09,0.99999,157,52
1.2,1.21E-06,0.99975,80,55
1.2,0.032032,0.8358,104,69
1.2,8.57E-08,0.99995,84,25
1.2,0.087282,0.72773,63,76
1.2,0.019687,0.94198,49,90
1.2,2.29E-08,0.99997,105,50
1.2,2.39E-06,0.99958,113,73
1.2,0.0071061,0.93795,82,81
1.2,0.015874,0.95513,65,43
1.2,0.00092045,0.98696,53,62
1.2,0.0055359,0.93972,69,60
1.2,1.82E-07,0.9999,160,24
1.2,0.075826,0.77402,57,51
1.2,0.068755,0.80264,72,65
1.2,0.016404,0.9543,161,85
1.2,3.10E-07,0.99987,87,36
1.2,1.24E-09,0.99999,147,29
1.2,0.012456,0.96123,121,84
1.2,0.013147,0.9598,98,70
1.2,0.012638,0.96069,116,37
1.2,0.021859,0.91301,65,32
1.2,5.20E-07,0.99983,96,77
1.2,1.53E-07,0.99992,112,64
1.2,1.55E-10,1,88,34
1.2,2.44E-07,0.99988,112,41
1.2,0.086064,0.38021,113,75
1.2,7.62E-06,0.99916,58,50
1.2,6.73E-09,0.99999,141,49
1.2,0.090777,0.44284,117,99
1.2,2.01E-08,0.99997,160,69
1.2,0.092001,0.5672,65,64
1.2,0.04737,0.17886,70,90
1.2,6.10E-05,0.99568,89,75
1.2,0.00019535,0.98924,48,41
1.2,0.064282,0.36176,106,103
1.2,0.019066,0.91626,53,31
1.2,0.024108,0.87161,103,85
1.2,1.96E-07,0.9999,108,57
1.2,5.24E-05,0.9957,61,49
1.2,0.092973,0.53944,85,73
1.2,0.074965,0.21294,74,85
1.2,0.090864,0.54849,46,46
1.2,0.085072,0.25001,68,24
1.2,1.57E-06,0.99965,68,69
1.2,1.33E-07,0.99994,96,74
1.2,2.43E-06,0.99948,61,56
1.2,0.029348,0.89005,80,44
1.2,1.12E-06,0.0002654,60,88
1.2,4.41E-09,0.99999,120,58
1.2,0.075277,0.78709,82,77
1.2,2.70E-06,0.99958,89,50
1.2,0.023896,0.90328,111,75
1.2,0.001934,0.98692,63,43
1.2,5.28E-06,0.99916,146,69
1.2,1.03E-10,1,68,26
1.2,3.83E-10,1,49,38
1.2,2.55E-09,0.99999,89,28
1.2,2.15E-05,0.99819,51,42
1.2,3.59E-05,0.99704,116,56
1.2,6.20E-06,0.00061626,45,86
1.2,1.36E-08,0.99998,106,42
1.2,2.30E-07,0.99991,75,38
1.2,0.00019536,0.99409,59,58
1.2,6.20E-09,0.99999,93,39
1.2,0.0005859,0.98535,62,72
1.2,0.015196,0.91078,66,31
1.2,0.09341,0.42825,106,78
1.2,7.59E-07,0.99979,58,42
1.2,1.21E-05,0.99878,55,64
1.2,2.04E-08,0.99996,144,51
1.2,2.98E-07,0.99988,176,85
1.2,0.07383,0.62838,90,42
1.2,2.30E-06,0.99956,108,94
1.2,1.01E-07,0.99994,104,49
1.2,2.69E-09,0.99999,100,37
1.2,0.041009,0.85355,78,72
1.2,1.42E-06,0.9997,82,50
1.2,3.64E-05,0.99717,134,56
1.2,1.62E-08,0.99998,79,37
1.2,0.014798,0.088519,71,94
1.2,1.36E-07,0.99992,137,39
1.2,3.73E-08,0.99997,119,62
1.2,0.07459,0.78832,106,85
1.2,0.069799,0.79835,106,72
1.2,0.09159,0.53795,97,88
1.2,4.50E-07,0.99989,143,81
1.2,3.74E-09,0.99999,122,22
1.2,0.023558,0.86183,77,87
1.2,3.66E-06,0.99933,109,89
1.2,1.18E-06,0.99978,105,48
1.2,4.41E-06,0.99932,52,34
1.2,0.010546,0.076988,87,120
1.2,0.082444,0.37482,52,90
1.2,0.026317,0.899,108,46
1.2,0.0065362,0.9486,102,45
1.2,3.10E-06,0.99937,57,56
1.2,0.073162,0.21453,73,73
1.2,8.03E-07,0.99984,121,86
1.2,0.062243,0.69947,105,66
1.2,9.63E-07,0.99975,82,46
1.2,1.80E-08,0.99998,67,41
1.2,0.00016836,0.98983,59,53
1.2,0.064401,0.813,78,50
1.2,0.077513,0.7812,101,86
1.2,9.45E-06,0.99909,79,52
1.2,5.05E-06,0.99923,56,36
1.2,0.026268,0.84705,117,120
1.2,0.018104,0.95041,72,70
1.2,6.02E-08,0.99995,140,46
1.2,2.06E-06,0.99956,89,84
1.2,0.070129,0.77887,84,55
1.2,3.47E-08,0.99994,146,62
1.2,0.0023625,0.95924,107,63
1.2,0.084878,0.27784,119,58
1.2,0.013517,0.93179,59,31
1.2,2.96E-08,0.99998,118,40
1.2,1.12E-07,0.99996,106,47
1.2,0.037454,0.16038,52,74
1.2,1.81E-07,0.99992,71,30
1.2,7.95E-07,0.99982,85,69
1.2,0.07098,0.79767,89,132
1.2,0.083345,0.64611,130,91
1.2,6.38E-07,0.9998,101,48
1.2,4.42E-09,0.99999,93,35
1.2,0.0019169,0.97508,61,60
1.2,4.97E-08,3.95E-05,49,96
1.2,2.53E-08,0.99997,99,56
1.2,3.25E-05,0.997,133,81
1.2,4.08E-08,0.99997,111,28
1.2,0.015543,0.95523,101,73
1.2,0.087779,0.58324,57,61
1.2,8.68E-09,0.99999,148,55
1.2,6.80E-08,0.99995,130,59
1.2,2.73E-06,0.99937,119,49
1.2,1.58E-06,0.99963,88,45
1.2,0.076499,0.64704,130,120
1.2,0.076824,0.78326,93,80
1.2,0.068868,0.78114,98,90
1.2,0.074293,0.78775,58,46
1.2,0.066641,0.80367,102,80
1.2,5.58E-08,0.99995,117,44
1.2,7.56E-08,0.99995,75,50
1.2,1.73E-05,0.99818,114,28
1.2,1.33E-08,0.99998,93,48
1.2,0.018586,0.88999,110,30
1.2,9.28E-06,0.99878,78,69
1.2,0.0018947,0.96357,124,91
1.2,1.27E-07,0.99988,120,67
1.2,6.59E-05,0.99534,91,56
1.2,7.33E-08,0.99995,44,37
1.2,4.64E-07,0.99983,125,65
1.2,0.086394,0.5889,95,74
1.2,4.82E-07,0.99985,62,44
1.2,4.33E-07,0.99988,83,69
1.2,0.075105,0.3564,61,82
1.2,1.87E-06,0.00034065,70,90
1.2,0.07219,0.20313,49,53
1.2,0.080198,0.48127,64,106
1.2,8.04E-09,0.99999,97,36
1.2,0.078257,0.77375,45,49
1.2,0.078092,0.77762,103,107
1.2,0.084435,0.25337,128,79
1.2,5.45E-08,0.99995,136,69
1.2,9.04E-09,0.99998,121,42
1.2,1.43E-05,0.99834,117,53
1.2,0.021342,0.93172,49,71
1.2,0.088247,0.59254,113,91
1.2,4.04E-08,0.99997,81,51
1.2,8.47E-09,0.99998,174,57
1.2,7.03E-09,0.99999,87,36
1.2,1.96E-08,0.99996,157,65
1.2,3.47E-07,0.99986,107,74
1.2,1.93E-08,0.99998,116,28
1.2,5.41E-07,0.99971,74,55
1.2,1.02E-08,0.99998,118,51
1.2,3.75E-06,0.9995,81,28
1.2,5.34E-05,0.99583,115,34
1.2,2.66E-08,0.99998,95,49
1.2,2.31E-05,0.99799,91,81
1.2,0.068386,0.197,101,141
1.2,0.089635,0.53884,67,46
1.2,0.087127,0.73864,47,126
1.2,5.19E-06,0.99909,112,49
1.2,1.06E-08,0.99999,102,40
1.2,0.092801,0.30515,92,77
1.2,0.07265,0.79366,99,85
1.2,9.40E-09,0.99999,123,18
1.2,0.021103,0.94288,94,60
1.2,5.87E-07,0.99987,94,70
1.2,4.37E-08,0.99996,118,77
1.2,0.078275,0.59979,60,69
1.2,6.66E-08,0.99994,94,46
1.2,8.98E-07,0.99973,108,51
1.2,0.0028882,0.96054,47,51
1.2,0.093233,0.53843,149,62
1.2,0.017674,0.91827,79,57
1.2,2.35E-08,0.99997,107,42
1.2,2.61E-07,0.99989,61,38
1.2,0.013701,0.91485,106,57
1.2,4.62E-10,1,165,24
1.2,0.0006378,0.98959,91,81
5,0.15938,0.65324,NA,NA
5,0.17268,0.61377,NA,NA
5,0.15617,0.64203,NA,NA
5,0.041144,0.92787,NA,NA
5,0.14629,0.65663,NA,NA
5,0.17063,0.56592,NA,NA
5,0.086568,0.81176,NA,NA
5,0.15909,0.63836,NA,NA
5,0.083389,0.84107,NA,NA
5,0.096431,0.81455,NA,NA
5,0.16163,0.6321,NA,NA
5,0.019545,0.97872,NA,NA
5,0.16885,0.6255,NA,NA
5,0.075673,0.86732,NA,NA
5,0.14434,0.70081,NA,NA
5,0.16483,0.59486,NA,NA
5,0.10683,0.77721,NA,NA
5,0.093982,0.81084,NA,NA
5,0.17041,0.44042,NA,NA
5,0.099102,0.80052,NA,NA
5,0.1292,0.75658,NA,NA
5,0.17859,0.57784,NA,NA
5,0.16085,0.62351,NA,NA
5,0.18382,0.54054,NA,NA
5,0.13926,0.72731,NA,NA
5,0.15574,0.6627,NA,NA
5,0.041742,0.92512,NA,NA
5,0.12284,0.25405,NA,NA
5,0.080587,0.8741,NA,NA
5,0.18298,0.47811,NA,NA
5,0.16565,0.61003,NA,NA
5,0.14482,0.71136,NA,NA
5,0.11765,0.76814,NA,NA
5,0.17398,0.60414,NA,NA
5,0.16214,0.62229,NA,NA
5,0.11236,0.76061,NA,NA
5,0.070217,0.86863,NA,NA
5,0.16849,0.66927,NA,NA
5,0.11932,0.72802,NA,NA
5,0.019808,0.97297,NA,NA
5,0.053751,0.91564,NA,NA
5,0.099361,0.80979,NA,NA
5,0.0092222,0.99112,NA,NA
5,0.033596,0.94706,NA,NA
5,0.039804,0.92498,NA,NA
5,0.14725,0.35436,NA,NA
5,0.10899,0.80725,NA,NA
5,0.053846,0.88692,NA,NA
5,0.14269,0.73562,NA,NA
5,0.063622,0.88145,NA,NA
5,0.11905,0.7825,NA,NA
5,0.16195,0.65707,NA,NA
5,0.17147,0.34715,NA,NA
5,0.06036,0.88543,NA,NA
5,0.16769,0.33673,NA,NA
5,0.18331,0.51883,NA,NA
5,0.03875,0.94039,NA,NA
5,0.033915,0.94473,NA,NA
5,0.1435,0.67929,NA,NA
5,0.13779,0.72898,NA,NA
5,0.1325,0.6957,NA,NA
5,0.1251,0.73741,NA,NA
5,0.13257,0.72433,NA,NA
5,0.098626,0.84168,NA,NA
5,0.056813,0.9128,NA,NA
5,0.059602,0.9108,NA,NA
5,0.044235,0.93676,NA,NA
5,0.1683,0.53066,NA,NA
5,0.15963,0.63651,NA,NA
5,0.10937,0.77834,NA,NA
5,0.13457,0.72144,NA,NA
5,0.16291,0.32088,NA,NA
5,0.14,0.73366,NA,NA
5,0.09231,0.81632,NA,NA
5,0.16423,0.63051,NA,NA
5,0.095502,0.82221,NA,NA
5,0.17505,0.58157,NA,NA
5,0.14362,0.28573,NA,NA
5,0.071109,0.8564,NA,NA
5,0.1724,0.60853,NA,NA
5,0.13704,0.74603,NA,NA
5,0.043475,0.9398,NA,NA
5,0.18199,0.50768,NA,NA
5,0.14064,0.73453,NA,NA
5,0.078976,0.8525,NA,NA
5,0.054768,0.88444,NA,NA
5,0.045364,0.933,NA,NA
5,0.12068,0.72618,NA,NA
5,0.077464,0.84178,NA,NA
5,0.1479,0.67332,NA,NA
5,0.074803,0.85207,NA,NA
5,0.17008,0.60551,NA,NA
5,0.18582,0.5156,NA,NA
5,0.12338,0.74768,NA,NA
5,0.12694,0.70599,NA,NA
5,0.02538,0.97102,NA,NA
5,0.13845,0.71916,NA,NA
5,0.13425,0.75197,NA,NA
5,0.15767,0.6875,NA,NA
5,0.10611,0.78133,NA,NA
