Environment,Alpha,Lambda,Beta,Var,Total_prop_Ls
directDist,0.001,0.095,2.2,9.30E-08,0.99743
directDist,0.001,0.095,2.4,6.76E-08,0.99781
directDist,0.001,0.095,2.6,5.45E-08,0.99804
directDist,0.001,0.095,2.8,4.69E-08,0.99818
directDist,0.001,0.095,3,4.21E-08,0.99827
directDist,0.001,0.095,3.2,3.89E-08,0.99834
directDist,0.001,0.095,3.4,3.66E-08,0.99839
directDist,0.001,0.095,3.6,3.50E-08,0.99843
directDist,0.001,0.095,3.8,3.37E-08,0.99846
directDist,0.001,0.095,4,3.27E-08,0.99848
directDist,0.001,0.095,4.2,3.20E-08,0.99849
directDist,0.001,0.095,4.4,3.14E-08,0.99851
directDist,0.001,0.095,4.6,3.10E-08,0.99852
directDist,0.001,0.095,4.8,3.07E-08,0.99853
directDist,0.001,0.095,5,3.04E-08,0.99853
directDist,0.001,0.1,1,5.54E-13,0.60002
directDist,0.001,0.1,1.2,1.84E-05,0.79624
directDist,0.001,0.1,1.4,1.02E-05,0.95836
directDist,0.001,0.1,1.6,1.26E-06,0.98921
directDist,0.001,0.1,1.8,3.07E-07,0.99499
directDist,0.001,0.1,2,1.34E-07,0.99674
directDist,0.001,0.1,2.2,8.07E-08,0.99748
directDist,0.001,0.1,2.4,5.84E-08,0.99785
directDist,0.001,0.1,2.6,4.69E-08,0.99808
directDist,0.001,0.1,2.8,4.03E-08,0.99822
directDist,0.001,0.1,3,3.61E-08,0.99831
directDist,0.001,0.1,3.2,3.33E-08,0.99838
directDist,0.001,0.1,3.4,3.13E-08,0.99843
directDist,0.001,0.1,3.6,2.99E-08,0.99847
directDist,0.001,0.1,3.8,2.88E-08,0.99849
directDist,0.001,0.1,4,2.80E-08,0.99852
directDist,0.001,0.1,4.2,2.73E-08,0.99853
directDist,0.001,0.1,4.4,2.68E-08,0.99855
directDist,0.001,0.1,4.6,2.64E-08,0.99856
directDist,0.001,0.1,4.8,2.61E-08,0.99857
directDist,0.001,0.1,5,2.58E-08,0.99857
directDist,0.005,0,1,NaN,0.5748
directDist,0.005,0,1.2,NaN,0.5748
directDist,0.005,0,1.4,NaN,0.5748
directDist,0.005,0,1.6,NaN,0.5748
directDist,0.005,0,1.8,NaN,0.5748
directDist,0.005,0,2,NaN,0.5748
directDist,0.005,0,2.2,NaN,0.5748
directDist,0.005,0,2.4,NaN,0.5748
directDist,0.005,0,2.6,NaN,0.5748
directDist,0.005,0,2.8,NaN,0.5748
directDist,0.005,0,3,NaN,0.5748
directDist,0.005,0,3.2,NaN,0.5748
directDist,0.005,0,3.4,NaN,0.5748
directDist,0.005,0,3.6,NaN,0.5748
directDist,0.005,0,3.8,NaN,0.5748
directDist,0.005,0,4,NaN,0.5748
directDist,0.005,0,4.2,NaN,0.5748
directDist,0.005,0,4.4,NaN,0.5748
directDist,0.005,0,4.6,NaN,0.5748
directDist,0.005,0,4.8,NaN,0.5748
directDist,0.005,0,5,NaN,0.5748
directDist,0.005,0.005,1,0.0058686,0.57052
directDist,0.005,0.005,1.2,0.089374,0.79564
directDist,0.005,0.005,1.4,0.1165,0.79705
directDist,0.005,0.005,1.6,0.1548,0.73926
directDist,0.005,0.005,1.8,0.15731,0.7389
directDist,0.005,0.005,2,0.1583,0.73884
